"","Pos.","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo"
"347","ARQ","Bonnin, Yair","$2.000.000","21","5,25","7,83","0","1","0","0","5","0","0","0","0","0","0","gimnasia"
"348","ARQ","Navarro, Nicolás","$4.400.000","93","7,75","28,13","1","4","0","0","10","0","6","2","0","0","0","gimnasia"
"349","DEF","Bonifacio, Ezequiel","$1.800.000","34","6,80","10,12","0","0","0","0","0","0","4","1","0","0","0","gimnasia"
"350","DEF","Benítez, Oliver","$3.500.000","69","5,31","6,64","1","0","0","0","0","0","4","2","1","0","0","gimnasia"
"351","DEF","Velázquez, Sergio","$2.000.000","7","3,50","1,30","0","0","0","0","0","0","1","1","0","0","0","gimnasia"
"352","DEF","Barsottini, Osvaldo","$4.700.000","69","4,60","6,53","1","0","0","0","0","0","5","5","1","0","0","gimnasia"
"353","DEF","Oreja, Facundo","$3.800.000","79","5,27","7,64","1","0","0","0","0","0","5","3","1","0","0","gimnasia"
"354","DEF","Coronel, Maximiliano","$3.200.000","87","7,25","20,93","1","0","2","0","0","0","7","4","0","0","0","gimnasia"
"355","DEF","Noble, Matías","$300.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","gimnasia"
"356","DEF","Licht, Lucas","$5.300.000","27","5,40","6,36","0","0","0","0","0","0","1","1","0","0","0","gimnasia"
"357","DEF","Jáuregui, Ignacio","$400.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","gimnasia"
"358","DEF","Guanini, Manuel","$300.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","gimnasia"
"359","DEF","García, Ariel Matías","$2.500.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","gimnasia"
"360","VOL","Fernández, Ignacio","$4.500.000","115","8,21","28,42","1","2","4","0","0","0","0","2","0","0","0","gimnasia"
"361","VOL","Fernández, Alvaro","$4.000.000","91","5,69","9,64","1","0","2","0","0","0","0","1","0","0","0","gimnasia"
"362","VOL","Rojas, Jorge","$3.300.000","76","6,91","25,07","1","0","3","0","0","0","0","2","0","0","0","gimnasia"
"363","VOL","Pouso, Omar","$3.200.000","13","4,33","3,00","0","0","0","0","0","0","0","1","0","0","0","gimnasia"
"364","VOL","Mendoza, Javier","$2.500.000","29","5,80","7,38","1","0","0","0","0","0","0","0","0","0","0","gimnasia"
"365","VOL","Silva, Juan Ignacio","$300.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","gimnasia"
"366","VOL","Brum, Roberto","$3.400.000","65","4,64","4,50","1","0","0","0","0","0","0","6","0","0","0","gimnasia"
"367","VOL","Nicolaievsky, Diego","$1.500.000","5","5,00","1,38","0","0","0","0","0","0","0","0","0","0","0","gimnasia"
"368","DEL","Tijanovich, Horacio","$300.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","gimnasia"
"369","DEL","Andrada, Brian","$400.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","gimnasia"
"370","DEL","Mazzola, Nicolás","$1.600.000","38","6,33","15,47","1","0","2","0","0","0","0","2","0","0","0","gimnasia"
"371","DEL","Meza, Maximiliano","$3.600.000","90","5,63","6,44","1","0","2","0","0","0","0","2","0","0","0","gimnasia"
"372","DEL","Contreras, Rodrigo","$2.300.000","18","9,00","11,35","0","1","1","0","0","0","0","0","0","0","0","gimnasia"
"373","DEL","Ramírez, Eric","$400.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","gimnasia"
"374","DEL","Bou, Walter","$1.500.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","gimnasia"
"375","DEL","Medina, Antonio","$4.000.000","59","6,56","27,66","0","1","3","0","0","0","0","0","1","0","0","gimnasia"
"376","ARQ","Moyano, Sebastián","$2.700.000","38","4,75","10,65","0","1","0","0","13","0","1","0","0","0","0","godoy-cruz"
"377","ARQ","Ramírez, Roberto","$900.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","godoy-cruz"
"378","ARQ","Rey, Rodrigo","$2.900.000","66","8,25","27,05","1","1","0","0","4","0","5","0","0","0","1","godoy-cruz"
"379","DEF","Ceballos, Lucas","$3.000.000","78","5,57","13,07","1","0","1","0","0","0","4","4","0","0","0","godoy-cruz"
"380","DEF","Burgos, Esteban","$1.400.000","15","7,50","5,87","1","0","0","0","0","0","2","0","0","0","0","godoy-cruz"
"381","DEF","Bay, Jonathan","$400.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","godoy-cruz"
"382","DEF","Ortiz, Danilo","$2.500.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","godoy-cruz"
"383","DEF","Viera, Diego","$2.800.000","78","5,57","6,01","0","0","0","0","0","0","4","2","0","0","0","godoy-cruz"
"384","DEF","Olivares, Sebastián","$2.000.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","godoy-cruz"
"385","DEF","Galeano, Leonel","$2.700.000","74","5,29","10,23","1","0","0","0","0","0","6","5","1","0","0","godoy-cruz"
"386","DEF","Alvacete, Juan I.","$2.500.000","42","4,67","6,13","0","0","0","0","0","1","2","2","0","0","0","godoy-cruz"
"387","DEF","Zárate, Nahuel","$2.600.000","52","5,78","8,92","1","0","0","0","0","0","6","2","0","0","0","godoy-cruz"
"388","VOL","Giménez, Gastón","$2.000.000","41","5,13","9,18","1","1","0","0","0","0","0","1","1","0","0","godoy-cruz"
"389","VOL","Zuqui, Fernando","$2.600.000","83","5,53","4,03","1","1","0","0","0","0","0","5","0","0","0","godoy-cruz"
"390","VOL","Díaz, Gonzalo","$1.600.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","godoy-cruz"
"391","VOL","González, Angel","$900.000","0","0,00","0,00","1","0","0","0","0","0","0","0","0","0","0","godoy-cruz"
"392","VOL","Díaz, Agustín","$1.800.000","20","5,00","4,50","0","0","0","0","0","0","0","0","0","0","0","godoy-cruz"
"393","VOL","De Faría, Luis","$300.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","godoy-cruz"
"394","VOL","Angileri, Fabrizio","$1.900.000","5","5,00","6,25","1","0","0","0","0","0","0","1","0","0","0","godoy-cruz"
"395","VOL","García, Emmanuel","$1.500.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","godoy-cruz"
"396","VOL","Jerez Silva, Luis","$2.400.000","40","5,00","6,93","1","0","0","0","0","0","0","3","0","0","0","godoy-cruz"
"397","DEL","Vila, Luis","$300.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","godoy-cruz"
"398","DEL","Correa, Javier","$2.500.000","8","2,67","2,25","0","0","0","0","0","0","0","0","1","0","0","godoy-cruz"
"399","DEL","Garro, Juan","$2.800.000","48","6,00","12,03","0","0","2","0","0","0","0","1","0","0","0","godoy-cruz"
"400","DEL","Ayoví, Jaime","$3.900.000","65","5,91","12,62","0","0","3","0","0","0","0","3","0","0","0","godoy-cruz"
"401","DEL","Fernández, Leandro","$3.800.000","112","7,47","25,77","1","2","7","1","0","0","0","4","1","0","0","godoy-cruz"
"402","ARQ","Giordano, Matías","$2.500.000","20","6,67","12,85","1","1","0","0","4","0","1","0","0","0","0","huracan"
"403","ARQ","Díaz, Marcos","$4.600.000","75","6,25","22,83","0","2","0","0","16","0","3","0","0","0","0","huracan"
"404","ARQ","Marinelli, Gonzalo","$1.700.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","huracan"
"405","DEF","Nervo, Martín","$4.000.000","75","5,00","4,01","1","0","0","0","0","0","3","3","0","0","0","huracan"
"406","DEF","San Román, José","$3.000.000","19","3,00","0,00","1","0","0","0","0","0","1","2","1","0","0","huracan"
"407","DEF","Blázquez, Matías","$1.500.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","huracan"
"408","DEF","Balbi, Luciano","$3.300.000","52","5,20","7,82","0","0","0","0","0","0","3","1","0","0","0","huracan"
"409","DEF","Mancinelli, Federico","$3.200.000","38","5,43","8,53","0","0","0","0","0","0","2","1","0","0","0","huracan"
"410","DEF","Arano, Carlos","$3.400.000","14","7,00","5,09","1","0","0","0","0","0","2","0","0","0","0","huracan"
"411","DEF","Echeverría, Santiago","$2.000.000","54","4,91","7,91","1","0","0","0","0","0","3","4","0","0","0","huracan"
"412","DEF","Domínguez, Eduardo","$4.100.000","70","6,36","33,87","0","1","1","1","0","0","3","1","2","0","0","huracan"
"413","DEF","Pereira, Hernán","$300.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","huracan"
"414","VOL","Bruna, Nicolás","$1.800.000","12","3,00","1,97","1","0","0","0","0","0","0","1","1","0","0","huracan"
"415","VOL","Gallegos, Ezequiel","$2.400.000","35","4,38","5,00","0","0","0","0","0","0","0","0","0","0","0","huracan"
"416","VOL","Vismara, Federico","$3.900.000","54","4,91","8,03","0","0","0","0","0","0","0","0","1","0","0","huracan"
"417","VOL","Distéfano, David","$1.400.000","15","5,00","8,69","0","0","1","0","0","0","0","0","1","0","0","huracan"
"418","VOL","M. y Fabianesi, Iván","$3.500.000","33","5,50","10,17","0","1","0","0","0","0","0","1","0","0","0","huracan"
"419","VOL","Villarruel, Lucas","$3.100.000","43","4,78","6,96","1","0","0","0","0","0","0","2","0","0","0","huracan"
"420","VOL","Mandarino, Germán","$3.400.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","huracan"
"421","VOL","Toranzo, Patricio","$4.400.000","64","5,82","10,42","1","0","1","0","0","0","0","2","0","0","0","huracan"
"422","VOL","Montenegro, Daniel","$5.000.000","49","5,44","10,46","1","0","1","0","0","0","0","1","0","0","0","huracan"
"423","VOL","Romero Gamarra, A.","$2.500.000","34","4,86","6,59","0","0","0","0","0","0","0","1","0","0","0","huracan"
"424","VOL","Bogado, Mauro","$3.800.000","82","5,86","12,15","0","1","1","0","0","0","0","5","0","0","0","huracan"
"425","DEL","Abila, Ramón","$5.200.000","86","7,17","47,94","1","1","6","0","0","0","0","3","0","0","0","huracan"
"426","DEL","Espinoza, Cristian","$4.000.000","13","4,33","2,77","1","0","0","0","0","0","0","1","0","0","0","huracan"
"427","DEL","Torassa, Agustín","$3.000.000","48","5,33","7,91","0","0","0","2","0","0","0","3","0","0","0","huracan"
"428","DEL","Puch, Edson","$2.700.000","28","4,67","7,76","0","0","0","0","0","0","0","0","1","0","0","huracan"
"429","DEL","D'Alia, Patricio","$500.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","huracan"
"430","DEL","Campana, Lucas","$900.000","20","5,00","5,20","0","0","1","0","0","0","0","1","0","0","0","huracan"
"431","DEL","Gil Clarotti, Agustín","$600.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","huracan"
"432","DEL","Orieta, Matías","$400.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","huracan"
"433","ARQ","Montoya, Germán","$3.500.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","independiente"
"434","ARQ","Rehak, Gonzalo","$300.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","independiente"
"435","ARQ","Rodríguez, Diego M.","$4.900.000","80","5,71","11,27","1","1","0","1","13","0","3","2","0","0","0","independiente"
"436","ARQ","Daffonchio, Facundo","$1.000.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","independiente"
"437","DEF","Cuesta, Víctor","$3.500.000","82","5,47","11,32","1","0","1","0","0","0","3","4","0","0","0","independiente"
"438","DEF","Toledo, Gustavo","$3.000.000","78","5,20","4,71","1","0","0","0","0","0","3","1","0","0","0","independiente"
"439","DEF","Breitenbruch, Néstor","$3.000.000","4","4,00","0,89","0","0","0","0","0","0","0","0","0","0","0","independiente"
"440","DEF","Victorino, Mauricio","$3.500.000","32","5,33","7,75","0","0","0","0","0","0","2","2","0","0","0","independiente"
"441","DEF","Báez, Cristian Javier","$900.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","independiente"
"442","DEF","Figal, Nicolás","$2.000.000","11","5,50","3,17","0","0","0","0","0","0","0","0","0","0","0","independiente"
"443","DEF","Tagliafico, Nicolás","$3.300.000","80","5,00","3,85","1","0","0","0","0","0","3","3","0","0","0","independiente"
"444","DEF","Villalba, Lucas","$2.700.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","independiente"
"445","DEF","Zárate, Alexis","$2.200.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","independiente"
"446","DEF","Aguilera, Emanuel","$3.900.000","53","5,89","14,81","1","0","1","0","0","0","1","2","0","0","0","independiente"
"447","DEF","Papa, Emiliano","$3.700.000","51","5,10","7,65","0","0","0","0","0","0","2","2","0","0","0","independiente"
"448","VOL","Ortiz, Jorge","$4.600.000","90","6,00","10,68","0","1","2","0","0","0","0","3","1","0","0","independiente"
"449","VOL","Ortiz, Cristian","$700.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","independiente"
"450","VOL","Pisano, Matías","$5.600.000","115","7,19","20,42","1","3","2","0","0","0","0","3","0","0","0","independiente"
"451","VOL","Vitale, Julián","$800.000","14","4,67","3,44","1","0","0","0","0","0","0","1","0","0","0","independiente"
"452","VOL","Méndez, Jesús","$4.100.000","57","5,18","11,64","1","1","0","0","0","0","0","5","1","0","0","independiente"
"453","VOL","Aquino, Claudio","$3.200.000","21","5,25","5,00","1","0","0","0","1","0","0","0","0","0","0","independiente"
"454","VOL","Rodríguez, Diego","$3.200.000","30","6,00","7,47","0","0","0","0","1","0","0","0","0","0","0","independiente"
"455","VOL","Mancuello, Federico","$7.800.000","72","7,20","29,36","0","1","3","0","0","0","0","3","2","0","0","independiente"
"456","VOL","Bellocq, Franco","$2.600.000","15","3,75","3,16","0","0","0","0","0","0","0","1","0","0","0","independiente"
"457","VOL","Trejo, Juan Manuel","$2.000.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","independiente"
"458","DEL","Pereyra Díaz, Jorge","$3.000.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","independiente"
"459","DEL","Benítez, Martín","$1.700.000","52","7,43","26,41","1","1","2","0","0","0","0","0","0","0","0","independiente"
"460","DEL","Riaño, Claudio","$4.200.000","51","5,67","11,65","0","0","2","0","0","0","0","0","0","0","0","independiente"
"461","DEL","Valencia, José","$3.700.000","22","5,50","7,15","1","0","1","0","0","0","0","1","0","0","0","independiente"
"462","DEL","Pizzini, Francisco","$2.500.000","20","5,00","4,62","0","0","0","0","0","0","0","0","0","0","0","independiente"
"463","DEL","Lucero, Juan Martín","$3.300.000","15","5,00","3,63","0","0","0","0","0","0","0","0","0","0","0","independiente"
"464","DEL","Albertengo, Lucas","$6.700.000","121","7,56","17,63","1","1","8","0","0","0","0","2","0","0","0","independiente"
"465","DEL","Vera, Diego","$3.800.000","27","5,40","7,65","0","0","1","0","0","0","0","0","0","0","0","independiente"
"466","ARQ","Acosta Luna, Aín","$400.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","lanus"
"467","ARQ","Monetti, Fernando","$4.900.000","81","5,40","8,53","0","0","0","0","16","0","5","2","0","0","0","lanus"
"468","ARQ","Ibáñez, Matías","$2.700.000","9","9,00","4,48","1","0","0","0","0","0","1","0","0","0","0","lanus"
"469","ARQ","Avellaneda, Nicolás","$500.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","lanus"
"470","DEF","Pasquini, Nicolás","$3.000.000","37","5,29","6,85","0","0","0","0","0","0","0","0","0","0","0","lanus"
"471","DEF","Araujo, Carlos","$3.500.000","73","5,21","5,15","1","0","0","0","0","0","6","6","0","0","0","lanus"
"472","DEF","Gómez, Gustavo","$3.500.000","78","5,57","7,30","1","0","0","0","0","0","6","5","0","0","0","lanus"
"473","DEF","Velázquez, Maxi","$4.000.000","85","6,07","10,12","1","0","1","0","0","0","4","2","0","0","0","lanus"
"474","DEF","Barisone, Diego","$3.400.000","84","5,60","5,82","1","0","0","0","0","0","5","2","0","0","0","lanus"
"475","DEF","Braghieri, Diego","$3.600.000","13","6,50","4,65","0","0","0","0","0","0","1","0","0","0","0","lanus"
"476","DEF","Monteseirín, Facundo","$1.900.000","7","7,00","2,71","0","0","0","0","0","0","1","0","0","0","0","lanus"
"477","VOL","Barrientos, Fernando","$2.600.000","36","4,50","5,40","0","0","0","0","0","0","0","2","0","0","0","lanus"
"478","VOL","Cáceres, Maximiliano","$300.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","lanus"
"479","VOL","Castellani, Gonzalo","$2.900.000","8","4,00","1,78","0","0","0","0","0","0","0","1","0","0","0","lanus"
"480","VOL","Bailone, Ignacio","$900.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","lanus"
"481","VOL","Ayala, Víctor","$4.800.000","108","7,20","23,64","0","4","3","0","0","0","0","5","0","1","0","lanus"
"482","VOL","Gallardo, Walter","$300.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","lanus"
"483","VOL","Aguirre, Nicolás","$3.800.000","23","7,67","10,23","0","0","1","0","0","0","0","0","0","0","0","lanus"
"484","VOL","Martínez, Román","$4.000.000","24","6,00","10,60","1","0","1","0","0","0","0","1","0","0","0","lanus"
"485","VOL","Leto, Sebastián","$4.000.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","lanus"
"486","VOL","Ibañez, Joaquín","$400.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","lanus"
"487","VOL","Fritzler, Matías","$3.900.000","56","5,09","7,85","1","0","0","0","0","0","0","2","1","0","0","lanus"
"488","DEL","Stracqualursi, Denis","$3.800.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","lanus"
"489","DEL","Benítez, Oscar","$3.600.000","60","5,00","8,48","1","0","1","0","0","0","0","0","1","0","0","lanus"
"490","DEL","González, Sergio","$400.000","24","8,00","13,65","1","1","1","0","0","0","0","0","0","0","0","lanus"
"491","DEL","Astina, Marcos","$1.900.000","4","4,00","0,89","0","0","0","0","0","0","0","0","0","0","0","lanus"
"492","DEL","Melano, Lucas","$4.200.000","89","6,85","45,36","0","1","5","0","0","0","0","0","0","0","0","lanus"
"493","DEL","V. Chamorro, Jorge","$2.300.000","23","4,60","4,46","1","0","0","0","0","0","0","0","0","0","0","lanus"
"494","DEL","González, Matías","$400.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","lanus"
"495","DEL","Acosta, Lautaro","$5.200.000","92","7,08","27,89","0","3","3","0","0","0","0","3","2","0","0","lanus"
"496","DEL","Di Renzo, Gonzalo","$400.000","14","4,67","3,20","1","0","0","0","0","0","0","0","0","0","0","lanus"
"497","ARQ","Pocrnjic, Luciano","$2.800.000","6","3,00","1,40","0","0","0","0","5","0","0","0","0","0","0","newells"
"498","ARQ","Unsain, Luis","$900.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","newells"
"499","ARQ","Ustari, Oscar","$5.000.000","89","6,36","14,53","1","1","0","0","13","0","7","2","0","0","1","newells"
"500","DEF","Escobar, Franco","$1.200.000","12","6,00","4,80","1","0","0","0","0","0","1","0","0","0","0","newells"
"501","DEF","Cáceres, Marcos","$4.300.000","75","5,77","6,95","0","0","0","0","0","0","6","1","0","0","0","newells"
"502","DEF","Casco, Milton","$4.400.000","76","5,85","10,25","0","1","0","0","0","0","6","5","0","0","0","newells"
"503","DEF","Valle, Jonathan","$1.100.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","newells"
"504","DEF","Baez, Gabriel","$500.000","10","5,00","2,71","1","0","0","0","0","0","1","1","0","0","0","newells"
"505","DEF","Fernández, Leandro","$3.200.000","8","8,00","16,00","1","0","0","0","0","0","1","0","0","0","0","newells"
"506","DEF","Pollacchi, Maxi","$1.600.000","19","3,00","0,00","0","0","0","0","0","0","1","2","1","0","0","newells"
"507","DEF","Paz, Nehuén","$2.100.000","29","5,80","14,80","0","0","1","0","0","0","2","3","0","0","0","newells"
