"","ID","Pos","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo","finalList"
"437",437,"DEF","Tagliafico, Nicolás",4300000,98,7,13.73,14,0,1,0,0,0,6,2,0,0,0,"independiente",15
"910",910,"VOL","Martínez, Mauricio",2600000,92,6.57,12.44,14,1,2,0,0,0,0,3,0,0,0,"union",15
"509",509,"DEF","Advíncula, Luis",3200000,88,6.77,28.63,13,1,1,0,0,0,5,2,0,0,0,"newells",13
"726",726,"DEL","Ruben, Marco",7500000,98,9.8,40.86,10,2,6,1,0,0,0,3,0,0,0,"rosario-central",13
"735",735,"DEF","Caruzzo, Matías",5500000,91,7,18.21,13,1,1,0,0,0,6,5,0,0,0,"san-lorenzo",13
"399",399,"DEL","Ayoví, Jaime",4100000,107,7.64,26.21,14,1,6,0,0,0,0,3,0,0,0,"godoy-cruz",12
"472",472,"DEF","Gómez, José Luis",4e+06,86,7.17,13.61,12,0,0,0,0,0,8,0,1,0,0,"lanus",12
"552",552,"VOL","Amoroso, Joel",2700000,77,5.92,12.03,13,0,2,0,0,0,0,0,0,0,0,"olimpo",12
"729",729,"ARQ","Torrico, Sebastián",5500000,94,6.27,14.48,15,1,0,0,15,0,6,0,0,0,0,"san-lorenzo",12
"69",69,"DEF","Vella, Luciano",2500000,76,5.85,6.69,13,0,0,0,0,0,7,3,0,0,0,"arsenal",11
"845",845,"VOL","Sánchez, Matías",3e+06,72,6,17.5,12,2,1,0,0,0,0,3,0,0,0,"temperley",11
"25",25,"DEL","Rosales, Santiago",3e+05,89,6.85,14.75,13,2,2,0,0,0,0,0,0,0,0,"aldosivi",10
"191",191,"ARQ","Orion, Agustín",5600000,78,6.5,15.11,12,0,0,0,9,0,5,1,0,0,1,"boca",9
"271",271,"DEF","Barboza, Alexander",1500000,80,6.15,13.25,13,1,0,0,0,0,5,3,0,0,0,"defensa-y-justicia",9
"244",244,"VOL","Figueroa, Víctor",4200000,73,6.64,19.75,11,1,2,0,0,0,0,1,0,0,0,"colon",8
"314",314,"VOL","Solari, Augusto",2300000,89,6.85,21.87,13,1,2,0,0,0,0,2,0,0,0,"estudiantes",8
"438",438,"DEF","Cuesta, Víctor",4e+06,98,7.54,14.36,13,1,2,0,0,0,5,6,0,0,0,"independiente",8
"707",707,"DEF","Donatti, Alejandro",5500000,87,7.25,18,12,0,1,0,0,0,6,2,0,0,0,"rosario-central",8
"789",789,"DEL","Toledo, Javier",2900000,112,8,22.5,14,1,8,0,0,0,0,3,1,0,0,"san-martin-san-juan",8
"896",896,"DEF","Zurbriggen, Santiago",2500000,73,5.62,7,13,0,0,0,0,0,5,1,0,0,0,"union",8
"384",384,"VOL","Fernández, Guillermo",2500000,82,6.31,18.61,13,1,2,0,0,0,0,5,0,0,0,"godoy-cruz",7
"613",613,"VOL","Braña, Rodrigo",4200000,77,7,16.28,11,4,0,0,0,0,0,4,1,0,0,"quilmes",7
"53",53,"VOL","Cabral, Luciano",3100000,63,5.73,16.56,11,1,1,0,0,0,0,1,0,0,0,"argentinos",6
"178",178,"VOL","Bolatti, Mario",3500000,90,7.5,45.36,12,1,4,0,0,0,0,4,1,0,0,"belgrano",6
"180",180,"VOL","Velázquez, Jorge",4900000,80,6.15,17.25,13,1,2,0,0,0,0,2,0,0,0,"belgrano",6
"195",195,"DEF","Silva, Jonathan",3700000,78,6,13.11,13,0,1,0,0,1,6,2,0,0,0,"boca",6
"366",366,"DEL","Bou, Walter",1500000,95,7.31,26.31,13,1,5,0,0,0,0,1,0,0,0,"gimnasia",6
"480",480,"VOL","Almirón, Miguel",3800000,78,8.67,24.98,9,1,2,0,0,0,0,0,0,0,0,"lanus",6
"575",575,"VOL","Garrido, Matías",2800000,80,6.67,25.13,12,0,2,0,0,0,0,1,0,0,0,"patronato",6
"766",766,"DEF","Casierra, Mauricio",2800000,88,5.87,4.5,15,0,0,0,0,0,4,1,0,0,0,"san-martin-san-juan",6
"341",341,"DEF","Licht, Lucas",5700000,75,6.25,16.59,12,0,1,1,0,0,5,3,0,0,0,"gimnasia",5
"376",376,"DEF","Ortiz, Danilo",2400000,86,6.14,10.11,14,1,0,0,0,0,4,4,0,0,0,"godoy-cruz",5
"413",413,"VOL","González, Mariano",3500000,75,7.5,22.71,10,0,3,0,0,0,0,0,0,0,0,"huracan",5
"441",441,"DEF","Pellerano, Hernán",4200000,77,5.92,7.15,13,0,0,0,0,0,5,2,0,0,0,"independiente",5
"467",467,"DEF","Velázquez, Maxi",4e+06,66,6,10.86,11,0,0,0,0,0,7,4,0,0,0,"lanus",5
"741",741,"VOL","Belluschi, Fernando",4700000,84,7,16.56,12,0,2,0,0,0,0,3,0,0,0,"san-lorenzo",5
"761",761,"ARQ","Ardente, Luis",3600000,106,7.07,21.86,15,3,1,1,19,0,4,4,0,0,0,"san-martin-san-juan",5
"816",816,"VOL","Busse, Walter",3200000,77,5.92,10.03,13,0,1,0,0,0,0,0,0,0,0,"sarmiento",5
"176",176,"VOL","Etevenaux, Iván",1900000,78,6.5,16.36,12,0,2,0,0,0,0,1,0,0,0,"belgrano",4
"319",319,"VOL","Sánchez, Facundo",3800000,71,5.46,9.5,13,0,1,0,0,0,0,3,0,0,0,"estudiantes",4
"647",647,"VOL","Aued, Luciano",3200000,73,6.64,13.75,11,1,1,0,0,0,0,1,0,0,0,"racing",4
"889",889,"DEL","Janson, Lucas",2e+06,91,9.1,32.59,10,2,5,0,0,0,0,2,0,0,0,"tigre",4
"75",75,"VOL","Lértora, Federico",3200000,75,5.36,6.96,14,1,0,0,0,0,0,6,0,0,0,"arsenal",3
"93",93,"DEL","Sánchez Sotelo, Juan",4e+06,86,7.17,26.36,12,1,5,0,0,0,0,0,0,0,0,"arsenal",3
"152",152,"VOL","Erviti, Walter",4400000,79,6.58,21.93,12,2,1,0,0,0,0,1,1,0,0,"banfield",3
"289",289,"DEL","Stefanelli, Nicolás",3e+05,90,7.5,17.48,12,1,4,0,0,0,0,1,0,0,0,"defensa-y-justicia",3
"329",329,"DEL","Fernández, Gastón",5e+06,88,7.33,37.25,12,2,3,1,0,0,0,2,0,0,0,"estudiantes",3
"377",377,"DEF","Ceballos, Lucas",2700000,81,5.79,6.06,14,0,0,0,0,0,4,2,0,0,0,"godoy-cruz",3
"500",500,"DEF","Cáceres, Marcos",4100000,62,5.17,7.11,12,0,0,0,0,0,5,1,0,0,0,"newells",3
"606",606,"VOL","Imperiale, Daniel",1800000,64,6.4,13.5,10,0,2,0,0,0,0,2,0,0,0,"quilmes",3
"679",679,"VOL","Martínez, Gonzalo",5500000,62,6.2,31.61,10,1,2,0,0,0,0,1,0,0,0,"river",3
"738",738,"DEF","Mas, Emmanuel",5600000,63,5.25,8.06,12,0,0,0,0,0,6,5,0,0,0,"san-lorenzo",3
"772",772,"VOL","Salas, Lucas",2800000,65,5,7.43,13,1,0,0,0,0,0,3,0,0,0,"san-martin-san-juan",3
"906",906,"VOL","Acevedo, Nelson",3300000,66,6,13.61,11,1,1,0,0,0,0,2,0,0,0,"union",3
"46",46,"VOL","Insúa, Federico",4700000,60,6,19.06,10,0,1,1,0,0,0,0,0,0,0,"argentinos",2
"162",162,"DEL","Simeone, Giovanni",3500000,87,7.25,33.5,12,1,4,0,0,0,0,0,0,0,0,"banfield",2
"211",211,"VOL","Lodeiro, Nicolás",5500000,67,7.44,20.9,9,0,3,0,0,0,0,1,0,0,0,"boca",2
"298",298,"ARQ","Andújar, Mariano",4200000,69,7.67,17.59,9,1,0,0,3,0,5,1,0,0,0,"estudiantes",2
"331",331,"ARQ","Bologna, Enrique",3800000,83,5.93,16.9,14,1,0,0,17,0,6,1,0,0,0,"gimnasia",2
"340",340,"DEF","Coronel, Maximiliano",3200000,62,5.64,8.61,11,0,0,0,0,0,6,3,0,0,0,"gimnasia",2
"343",343,"DEF","Noble, Matías",5e+05,79,6.58,10.06,12,0,0,0,0,0,6,1,0,0,0,"gimnasia",2
"352",352,"VOL","Rinaudo, Fabián",3500000,58,5.8,11.61,10,2,0,0,0,0,0,4,0,0,0,"gimnasia",2
"375",375,"DEF","Viera, Diego",2800000,85,6.07,5.84,14,0,0,0,0,0,4,1,0,0,0,"godoy-cruz",2
"418",418,"VOL","Romero Gamarra, A.",2400000,58,5.27,6.36,11,0,0,0,0,0,0,0,0,0,0,"huracan",2
"439",439,"DEF","Toledo, Gustavo",3e+06,74,5.69,7.23,13,0,0,0,0,0,5,2,0,0,0,"independiente",2
"483",483,"VOL","Marcone, Iván",3500000,56,6.22,14.13,9,2,0,0,0,0,0,5,0,0,0,"lanus",2
"512",512,"VOL","Mateo, Diego",3800000,52,5.2,8.81,10,1,0,0,0,0,0,4,0,0,0,"newells",2
"518",518,"VOL","Formica, Mauro",4200000,46,5.11,9.11,9,1,0,0,0,0,0,1,0,0,0,"newells",2
"653",653,"DEL","López, Lisandro",5200000,67,8.38,44.65,8,2,3,0,0,0,0,1,0,0,0,"racing",2
"700",700,"DEF","Salazar, Víctor",1500000,56,5.6,9.25,10,0,0,0,0,0,5,3,0,0,0,"rosario-central",2
"744",744,"VOL","Mercier, Juan",5e+06,57,6.33,12.5,9,1,0,0,0,0,0,2,0,0,0,"san-lorenzo",2
"748",748,"VOL","Barrientos, Pablo",4e+06,64,6.4,15.75,10,1,1,0,0,0,0,1,0,0,0,"san-lorenzo",2
"758",758,"DEL","Cerutti, Ezequiel",4800000,99,7.07,17.53,14,3,1,0,0,0,0,5,0,0,0,"san-lorenzo",2
"802",802,"DEF","Peppino, Franco",3700000,68,5.67,7.44,12,0,0,0,0,0,4,1,0,0,0,"sarmiento",2
"811",811,"VOL","Pereira, Hamilton",2200000,60,5,5.44,12,0,0,0,0,0,0,1,0,0,0,"sarmiento",2
"882",882,"VOL","Castro, Alexis",1200000,48,12,60.38,4,1,3,0,0,0,0,0,0,0,0,"tigre",2
"917",917,"VOL","Villar, Diego",3e+06,59,4.92,7.46,12,0,1,0,0,0,0,1,0,0,0,"union",2
"954",954,"DEL","Pavone, Mariano",5800000,80,11.43,51,7,2,5,0,0,0,0,0,0,0,0,"velez",2
"7",7,"DEF","Arias, Ramiro",5e+05,37,5.29,7.71,7,0,0,0,0,0,3,2,0,0,0,"aldosivi",1
"22",22,"VOL","Rivero, Martín",2e+06,62,4.77,4.48,13,0,0,0,0,0,0,2,0,0,0,"aldosivi",1
"27",27,"DEL","Penco, Sebastián",4500000,80,6.15,11.13,13,0,4,0,0,0,0,1,0,0,0,"aldosivi",1
"89",89,"VOL","Bazán, Gonzalo",2200000,90,6,12.73,15,0,2,0,0,0,0,3,0,0,0,"arsenal",1
"105",105,"DEF","Benítez, Nelson",2400000,61,4.69,5.28,13,0,0,0,0,0,2,1,0,0,0,"atletico-rafaela",1
"115",115,"VOL","Serrano, Walter",3200000,45,4.5,5.15,10,0,0,0,0,0,0,1,0,0,0,"atletico-rafaela",1
"122",122,"VOL","Morales, Gabriel",5e+05,42,4.67,5.86,9,0,0,0,0,0,0,0,0,0,0,"atletico-rafaela",1
"132",132,"ARQ","Navarro, Hilario",3900000,68,5.67,14.69,12,0,0,0,17,0,4,0,0,0,1,"banfield",1
"137",137,"DEF","Soto, Alexis",3e+05,58,4.83,9.48,12,1,0,0,0,0,3,6,0,0,0,"banfield",1
"139",139,"DEF","Matheu, Carlos",3400000,84,6.46,13.44,13,0,1,0,0,0,4,1,0,0,0,"banfield",1
"144",144,"DEF","Bettini, Gonzalo",2200000,80,6.15,16.38,13,0,1,0,0,0,4,2,0,0,0,"banfield",1
"169",169,"DEF","Barrios, Pier",2900000,41,5.13,8.12,8,0,0,0,0,0,2,1,0,0,0,"belgrano",1
"201",201,"DEF","Insaurralde, Juan Manuel",5300000,61,5.55,7.28,11,0,0,0,0,0,4,4,0,0,0,"boca",1
"246",246,"VOL","Poblete, Gerónimo",2500000,71,5.92,10.5,12,0,1,0,0,0,0,3,0,0,0,"colon",1
"253",253,"DEL","Silva, Nicolás",1500000,51,5.67,10.15,9,1,0,0,0,0,0,0,0,0,0,"colon",1
"276",276,"VOL","Fredes, Hernán",3500000,61,6.78,20.4,9,1,1,0,0,0,0,1,0,0,0,"defensa-y-justicia",1
"278",278,"VOL","Bouzat, Agustín",8e+05,46,5.75,12.36,8,0,1,0,0,0,0,1,0,0,0,"defensa-y-justicia",1
"308",308,"DEF","Diarte, Lucas",8e+05,71,5.92,8.12,12,0,0,0,0,0,5,1,0,0,0,"estudiantes",1
"311",311,"VOL","Damonte, Israel",3500000,73,6.64,13.75,11,0,1,0,0,0,0,1,0,0,0,"estudiantes",1
"374",374,"DEF","Abecasis, Luciano",2500000,77,5.92,8.9,13,1,0,0,0,0,4,5,0,0,0,"godoy-cruz",1
"394",394,"VOL","Montaccio, Gastón",3e+05,46,0,0,7,0,1,0,0,0,0,2,0,0,0,"godoy-cruz",1
"426",426,"DEL","D'Alia, Patricio",5e+05,46,0,0,7,0,1,0,0,0,0,2,0,0,0,"huracan",1
"436",436,"DEF","Breitenbruch, Néstor",3e+06,46,0,0,7,0,1,0,0,0,2,2,0,0,0,"independiente",1
"453",453,"VOL","Aquino, Claudio",3500000,47,5.88,11.81,8,1,0,0,0,0,0,0,0,0,0,"independiente",1
"486",486,"DEL","Acosta, Lautaro",5500000,91,7.58,17.09,12,1,2,0,0,0,0,0,0,0,0,"lanus",1
"545",545,"VOL","Míguez, Pablo",2500000,66,5.08,8.48,13,0,1,0,0,0,0,2,0,0,0,"olimpo",1
"546",546,"VOL","Ferreira, Brian",1900000,46,0,0,7,0,1,0,0,0,0,2,0,0,0,"olimpo",1
"644",644,"VOL","Díaz, R. Gastón",3400000,49,4.9,10.81,10,0,1,0,0,0,0,4,0,0,0,"racing",1
"657",657,"DEL","Milito, Diego",8e+06,72,8,44,9,2,3,0,0,0,0,2,0,0,0,"racing",1
"677",677,"VOL","Casquete, Abel",3e+05,46,0,0,7,0,1,0,0,0,0,2,0,0,0,"river",1
"699",699,"DEF","Pinola, Javier",4600000,70,6.36,16.48,11,1,0,0,0,0,6,2,1,0,0,"rosario-central",1
"712",712,"VOL","González, Maximiliano",5e+05,46,0,0,7,0,1,0,0,0,0,2,0,0,0,"rosario-central",1
"716",716,"VOL","Lo Celso, Giovani",1800000,81,6.75,17.06,12,0,2,0,0,0,0,3,0,0,0,"rosario-central",1
"775",775,"VOL","Gelabert, Marcos",3e+06,67,5.15,4.9,13,0,0,0,0,0,0,5,0,0,0,"san-martin-san-juan",1
"800",800,"DEF","Caire, Maximiliano",1600000,58,5.8,9.23,10,0,0,0,0,0,5,0,0,0,0,"sarmiento",1
"867",867,"DEF","Echeverría, Mariano",3500000,46,0,0,7,0,1,0,0,0,2,2,0,0,0,"tigre",1
"868",868,"DEF","Marín, Leandro",2800000,43,5.38,8.84,8,0,0,0,0,0,3,1,0,0,0,"tigre",1
"891",891,"DEL","Rincón, Sebastián",2800000,62,7.75,37.48,8,1,2,0,0,0,0,0,0,0,0,"tigre",1
"915",915,"VOL","Pittón, Bruno",5e+05,61,5.08,9.4,12,0,1,0,0,0,0,4,0,0,0,"union",1
"921",921,"DEL","Riaño, Claudio",4200000,92,8.36,25.94,11,0,7,0,0,0,0,1,0,0,0,"union",1
"937",937,"VOL","Desábato, Leandro L.",2200000,44,4.4,5.06,10,0,0,0,0,0,0,4,0,0,0,"velez",1
"942",942,"VOL","Alvarenga, Fabricio",1500000,59,6.56,17.96,9,1,2,0,0,0,0,1,1,0,0,"velez",1
"952",952,"DEL","Toledo, Hernán",1800000,66,6.6,15.11,10,1,1,0,0,0,0,2,0,0,0,"velez",1
