"","ID","Pos","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo","finalList.freq"
"8",8,"DEF","Lequi, Matías",3600000,134,6.09,15.38,22,0,1,0,0,0,9,7,0,0,0,"aldosivi",2
"26",26,"DEL","Sand, José Gustavo",4400000,155,6.2,11.87,25,2,6,0,0,0,0,5,0,0,0,"aldosivi",2
"31",31,"DEL","Martínez, Roger",3300000,145,6.59,19.61,22,4,6,0,0,1,0,9,1,0,0,"aldosivi",2
"59",59,"DEL","Rinaldi, Lautaro",2300000,143,5.96,11.91,24,0,6,1,0,0,0,2,1,1,0,"argentinos",2
"151",151,"DEF","Bettini, Gonzalo",2e+06,72,5.14,7.84,14,0,0,0,0,0,6,4,0,0,0,"banfield",2
"187",187,"DEF","Saravia, Renzo",2800000,142,5.68,8.6,25,1,0,0,0,1,10,5,1,0,0,"belgrano",2
"230",230,"DEL","Palacios, Sebastián",2800000,116,7.25,22.05,16,1,5,0,0,0,0,1,0,0,0,"boca",2
"258",258,"VOL","Llama, Cristian",2500000,83,8.3,24.45,10,2,3,1,0,0,0,4,0,0,0,"colon",2
"386",386,"VOL","Fernández, Alvaro",4e+06,124,4.96,9.38,25,0,2,0,0,0,0,2,0,1,0,"gimnasia",2
"476",476,"DEF","Toledo, Gustavo",3e+06,145,5.58,7.34,26,0,0,0,0,0,11,5,0,0,0,"independiente",2
"534",534,"ARQ","Ustari, Oscar",5e+06,109,6.06,15.03,18,1,0,0,17,0,8,2,0,0,1,"newells",2
"565",565,"DEL","Scocco, Ignacio",5300000,145,6.59,20.41,22,1,6,1,0,0,0,3,0,0,0,"newells",2
"603",603,"DEF","Quiroga, Juan",2500000,105,5.25,7.38,20,0,0,0,0,0,9,7,0,0,0,"olimpo",2
"641",641,"DEF","Alegre, Alan",2500000,118,5.36,8.06,22,0,0,0,0,0,9,6,0,0,0,"quilmes",2
"665",665,"DEF","Pillud, Iván",4300000,112,6.59,15.13,17,0,1,0,0,0,8,0,0,0,0,"racing",2
"696",696,"DEF","Casco, Milton",4400000,116,5.52,9.25,21,1,0,0,0,0,9,5,0,0,0,"river",2
"710",710,"VOL","Bertolo, Nicolás",5400000,120,6.32,20.33,19,2,2,1,0,0,0,1,0,0,0,"river",2
"743",743,"VOL","Aguirre, Jonás",2800000,105,5.83,9.85,18,1,0,0,0,0,0,0,0,0,0,"rosario-central",2
"780",780,"VOL","Romagnoli, Leandro",5500000,119,7.44,21.77,16,4,1,0,0,0,0,1,0,0,0,"san-lorenzo",2
